"filename", "language", "HTML", "JSON", "TypeScript", "JSON with Comments", "JavaScript", "Markdown", "TypeScript JSX", "YAML", "SCSS", "comment", "blank", "total"
"c:\Users\yaman\OneDrive\Masaüstü\final-project\src\components\UseBlaze\UseBlazeSlider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 13, 0, 0, 1, 4, 18
"c:\Users\yaman\OneDrive\Masaüstü\final-project\src\components\payment\addressSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 572, 0, 0, 1, 13, 586
"c:\Users\yaman\OneDrive\Masaüstü\final-project\src\components\payment\customAccordion.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 3, 53
"c:\Users\yaman\OneDrive\Masaüstü\final-project\src\components\payment\orderSummary.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 195, 0, 0, 0, 5, 200
"c:\Users\yaman\OneDrive\Masaüstü\final-project\src\components\payment\paymentExtra.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 3, 80
"c:\Users\yaman\OneDrive\Masaüstü\final-project\src\components\payment\paymentSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 367, 0, 0, 0, 9, 376
"c:\Users\yaman\OneDrive\Masaüstü\final-project\src\components\payment\paymentSecurity.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 87, 0, 0, 0, 4, 91
"c:\Users\yaman\OneDrive\Masaüstü\final-project\src\components\payment\shippingSections.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 54, 0, 0, 1, 4, 59
"c:\Users\yaman\OneDrive\Masaüstü\final-project\src\components\secondNavbar\DrawerList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 130, 0, 0, 0, 11, 141
"c:\Users\yaman\OneDrive\Masaüstü\final-project\src\components\secondNavbar\NavbarDrawer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 9, 64
"c:\Users\yaman\OneDrive\Masaüstü\final-project\src\components\secondNavbar\SearchModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 177, 0, 0, 1, 12, 190
"c:\Users\yaman\OneDrive\Masaüstü\final-project\src\data\comment-dumy.ts", "TypeScript", 0, 0, 645, 0, 0, 0, 0, 0, 0, 0, 3, 648
